time_s,ax,ay,az,pitch,roll,yaw
0.0096,484,-132,16656,-1.66,-0.45,0.05
0.0228,872,-208,16224,-3.08,-0.73,0.11
0.0359,664,-184,16524,-2.30,-0.64,0.14
0.0488,896,-204,16512,-3.11,-0.71,0.16
0.0604,612,-184,16820,-2.08,-0.63,0.18
0.0718,444,-60,16336,-1.56,-0.21,0.20
0.0850,36,32,16636,-0.12,0.11,0.24
0.0964,176,-88,16684,-0.60,-0.30,0.30
0.1081,336,-8,16568,-1.16,-0.03,0.36
0.1212,508,-180,16768,-1.74,-0.62,0.43
0.1326,424,-220,16988,-1.43,-0.74,0.48
0.1442,512,-180,16416,-1.79,-0.63,0.53
0.1570,212,-280,17032,-0.71,-0.94,0.55
0.1687,360,-304,17072,-1.21,-1.02,0.59
0.1800,348,-212,16860,-1.18,-0.72,0.64
0.1930,552,-244,16924,-1.87,-0.83,0.71
0.2043,732,-288,16960,-2.47,-0.97,0.76
0.2159,608,-272,16992,-2.05,-0.92,0.80
0.2289,900,-280,16276,-3.16,-0.99,0.80
0.2401,452,-332,17188,-1.51,-1.11,0.80
0.2516,540,-336,16348,-1.89,-1.18,0.79
0.2643,200,-380,16792,-0.68,-1.30,0.76
0.2760,844,-592,16648,-2.90,-2.04,0.73
0.2874,652,-312,17116,-2.18,-1.04,0.70
0.3003,780,-192,16672,-2.68,-0.66,0.67
0.3117,900,-212,16968,-3.04,-0.72,0.67
0.3232,1080,-268,16924,-3.65,-0.91,0.67
0.3363,728,-188,16768,-2.49,-0.64,0.70
0.3477,876,-132,16720,-3.00,-0.45,0.73
0.3590,992,-248,17256,-3.29,-0.82,0.78
0.3721,1260,-320,16464,-4.38,-1.11,0.80
0.3836,912,-364,17136,-3.05,-1.22,0.80
0.3951,1228,-336,16696,-4.21,-1.15,0.80
0.4079,744,-288,16912,-2.52,-0.98,0.80
0.4196,700,-336,16516,-2.43,-1.17,0.82
0.4309,508,-300,16652,-1.75,-1.03,0.85
0.4439,904,-420,16600,-3.12,-1.45,0.91
0.4553,1464,-484,16336,-5.12,-1.70,0.93
